date,index_close,index_volume,index_amount,index_turnover
2024-12-12,4028.5048,18162177700,333667518401.4,0
2024-12-13,3933.1808,23035307900,421478609274.0,0
2024-12-16,3911.8416,17851125100,327619081581.3,0
2024-12-17,3922.0334,16093909000,306037370846.7,0
2024-12-18,3941.89,15773832100,276825381224.3,0
2024-12-19,3945.4635,16108104000,321771606933.4,0
2024-12-20,3927.7441,15498649600,332143276397.7,0
2024-12-23,3933.5718,19006736200,354063425208.7,0
2024-12-24,3983.6882,16149458900,310384873294.2,0
2024-12-25,3985.6291,15939074700,299295145793.1,0
2024-12-26,3987.4801,14342528600,305769929402.7,0
2024-12-27,3981.0307,16926866600,345011075199.0,0
2024-12-30,3999.0549,16461248500,322699390191.8,0
2024-12-31,3934.9109,18392839700,347880439530.4,0
2025-01-02,3820.3952,21789872400,388636586639.3,0
2025-01-03,3775.1648,17534267600,304322755435.9,0
2025-01-06,3768.9697,15094667000,262803541116.2,0
2025-01-07,3796.1055,14645577900,266855795347.4,0
2025-01-08,3789.2153,16916696800,300965725432.7,0
2025-01-09,3779.8773,12979400200,251486002819.8,0
2025-01-10,3732.4806,13752317100,275354209064.3,0
2025-01-13,3722.513,13644619900,247861953196.7,0
2025-01-14,3820.5395,17066465700,345461480063.6,0
2025-01-15,3796.026,14147552000,278850595531.7,0
2025-01-16,3800.3836,14450587100,305734630771.3,0
2025-01-17,3812.3429,12662196100,265437489593.6,0
2025-01-20,3829.6764,13958127700,292175449108.6,0
2025-01-21,3832.6145,14121840600,285073351693.4,0
2025-01-22,3797.0166,13725506200,298745637551.4,0
2025-01-23,3803.7439,18056955100,345198071113.9,0
2025-01-24,3832.8637,14897172200,296474375469.1,0
2025-01-27,3817.0802,14667077200,282940127540.6,0
2025-02-05,3795.0848,15716830800,346016202025.2,0
2025-02-06,3842.8314,16728817600,371891971101.4,0
2025-02-07,3892.7028,22185770700,487381557078.2,0
2025-02-10,3901.0618,18890304000,384968342874.3,0
2025-02-11,3883.1352,16657490900,337866056115.9,0
2025-02-12,3919.8617,16422854000,354830596297.9,0
2025-02-13,3905.1398,17248587400,376473453306.6,0
2025-02-14,3939.0085,17297645200,360974236854.4,0
2025-02-17,3947.3983,21358824600,430929575563.2,0
2025-02-18,3912.7829,20942510100,400186229940.7,0
2025-02-19,3940.1602,18282951700,363680372562.7,0
2025-02-20,3928.8959,16389523600,325972429362.6,0
2025-02-21,3978.444,22740033000,504645493577.1,0
2025-02-24,3969.7169,22081061800,455088749684.5,0
2025-02-25,3925.6505,17810858000,377981451250.4,0
2025-02-26,3959.9413,19106250100,386458193762.6,0
2025-02-27,3968.1159,20288796300,428272792667.6,0
2025-02-28,3890.0487,19810414700,420308043450.1,0
2025-03-03,3888.4738,17762316600,356057735014.0,0
2025-03-04,3885.2208,14985096700,297739246802.3,0
2025-03-05,3902.5706,15865275100,290860484504.9,0
2025-03-06,3956.2369,19396091500,397419427642.7,0
2025-03-07,3944.0143,16673237500,340626700285.5,0
2025-03-10,3928.8018,15276523200,292574987480.9,0
2025-03-11,3941.4157,14475440200,287480453119.8,0
2025-03-12,3927.2315,15673219000,309627267364.8,0
2025-03-13,3911.5793,15653644300,295173112579.6,0
2025-03-14,4006.5567,21613900300,450895278803.0,0
2025-03-17,3996.7876,16220291100,318904417418.3,0
2025-03-18,4007.7229,14020849600,292739319544.6,0
2025-03-19,4010.168,14441942800,286075300795.3,0
2025-03-20,3974.9918,13375467000,260020676825.8,0
2025-03-21,3914.6956,16590529400,309348613935.4,0
2025-03-24,3934.8486,15223467400,266051442612.7,0
2025-03-25,3932.2951,14047539900,239246310985.8,0
2025-03-26,3919.3566,13116418700,220943164486.2,0
2025-03-27,3932.4117,12679373800,232173613774.0,0
2025-03-28,3915.1662,12635621400,213379194289.3,0
2025-03-31,3887.3056,16679852300,268480316572.3,0
2025-04-01,3887.6841,14038027400,246041674670.2,0
2025-04-02,3884.3858,11304317500,198267515342.4,0
2025-04-03,3861.5034,14259978900,263684681545.1,0
2025-04-07,3589.4406,31257858600,512971787744.6,0
2025-04-08,3650.759,28019731200,464021087837.5,0
2025-04-09,3686.7943,26230570800,455031069289.8,0
2025-04-10,3735.1151,22725222700,403842564855.5,0
2025-04-11,3750.5167,16875969100,318535141904.4,0
2025-04-14,3759.1422,16446240300,292571297039.1,0
2025-04-15,3761.2348,13400604000,228604621375.8,0
2025-04-16,3772.8204,15635900600,261711094768.5,0
2025-04-17,3772.2221,12237100200,209012323066.2,0
2025-04-18,3772.523,10294850900,173109384097.2,0
2025-04-21,3784.8806,12135573000,208085677382.1,0
2025-04-22,3783.9522,12568825700,210200698793.7,0
2025-04-23,3786.8824,13198687000,247117386122.1,0
2025-04-24,3784.3574,11716456000,205483051375.0,0
2025-04-25,3786.9937,12459113300,220535052619.3,0
2025-04-28,3781.6188,12514509100,210635318523.2,0
2025-04-29,3775.0767,11151469400,197462744362.5,0
2025-04-30,3770.5705,14368165800,244820462217.6,0
2025-05-06,3808.5424,15852045900,267937090757.4,0
2025-05-07,3831.627,16117229900,286010735453.4,0
2025-05-08,3852.8963,12495983300,246987280587.7,0
2025-05-09,3846.1566,11938952600,216697939671.7,0
2025-05-12,3890.6096,15333246000,296122947807.8,0
2025-05-13,3896.2583,14732029900,267586397719.9,0
2025-05-14,3943.2108,17203377900,319465226850.5,0
2025-05-15,3907.1992,13808174900,241464943553.6,0
2025-05-16,3889.0854,11840534500,208835664039.2,0
2025-05-19,3877.1453,9864341400,184888170553.8,0
2025-05-20,3898.1705,10488523400,201636702521.8,0
2025-05-21,3916.3807,10979134300,217037739435.0,0
2025-05-22,3913.8651,10759705200,197511410270.8,0
2025-05-23,3882.2741,12027741900,232945378294.8,0
2025-05-26,3860.1067,10960120700,208876792148.9,0
2025-05-27,3839.3969,9857242500,178466763540.9,0
2025-05-28,3836.2366,8903102600,162496372727.5,0
2025-05-29,3858.6998,10847188600,209459602501.2,0
2025-05-30,3840.2323,11167222800,199389751071.1,0
2025-06-03,3852.0127,13140309000,226782772062.7,0
2025-06-04,3868.7429,11680387300,211736178154.1,0
2025-06-05,3877.5557,12287818400,231749275334.6,0
2025-06-06,3873.9841,11098797100,202034736310.9,0
2025-06-09,3885.2459,13630629300,262023668465.5,0
2025-06-10,3865.4652,14556385900,263647551794.8,0
2025-06-11,3894.6252,14241477200,257217704405.4,0
2025-06-12,3892.1992,13399869700,260239581458.0,0
